Cruise Line,Ship Name,Date,Time,Port
Celebrity Cruises,Celebrity Eclipse,Unknown,Unknown,"Departing from Buenos Aires, Argentina  hotels"
Celebrity Cruises,Celebrity Eclipse,Unknown,Unknown,"Ushuaia, Argentina"
Celebrity Cruises,Celebrity Eclipse,22,Feb,"Cape Horn, Chile Antarctica"
Celebrity Cruises,Celebrity Eclipse,23,Feb,"Paradise Harbor, Antarctica"
Celebrity Cruises,Celebrity Eclipse,24,Feb,"Elephant Island Antarctica, South Shetlands"
Celebrity Cruises,Celebrity Eclipse,Unknown,Unknown,"Port Stanley, East Falkland Island"
Celebrity Cruises,Celebrity Eclipse,Unknown,Unknown,"Puerto Madryn, Argentina"
Celebrity Cruises,Celebrity Eclipse,Unknown,Unknown,"Montevideo, Uruguay"
Celebrity Cruises,Celebrity Eclipse,Unknown,Unknown,"Arriving in Buenos Aires, Argentina  hotels"
Celebrity Cruises,Celebrity Eclipse,Unknown,Unknown,"Departing from Buenos Aires, Argentina  hotels"
Celebrity Cruises,Celebrity Eclipse,Unknown,Unknown,"Montevideo, Uruguay"
Celebrity Cruises,Celebrity Eclipse,Unknown,Unknown,"Punta del Este, Uruguay"
Celebrity Cruises,Celebrity Eclipse,Unknown,Unknown,"Puerto Madryn, Argentina"
Celebrity Cruises,Celebrity Eclipse,08,Mar,"Cape Horn, Chile Antarctica"
Celebrity Cruises,Celebrity Eclipse,Unknown,Unknown,"Ushuaia, Argentina"
Celebrity Cruises,Celebrity Eclipse,Unknown,Unknown,"Punta Arenas, Chile Antarctica"
Celebrity Cruises,Celebrity Eclipse,Unknown,Unknown,"Arriving in Valparaiso-Santiago, Chile  hotels"
